Comment,Label
ഈ വരുന്ന ഞായറാഴ്ച പതിമൂനാം തീയതി പത്തരമണിക്കു പങ്കജാക്ഷി അമ്മയുടെ ചരമവാര്ഷികമാണ്. എന്റെ അമ്മൂമ്മ. അപ്പൊ ഇത് ഒരു അറിയിപ്പായിട്ടു നിങ്ങൾ എടുക്കണം കാരണം ഇതിലൂടെയൊക്കെ എനിക്ക് ഇപ്പൊ പറയാൻ പറ്റു അല്ലാതെ പാഴായെപോലെ പത്രത്തിലൊന്നും ഇടാൻ പറ്റില്ല.,0
"Super explanation, ente kure doubts clear aay_i. By the way, Njan ee week 50,000 money undakki. ഇവ നോക്കൂ, profile-il link check cheyyu. fast payment guaranteed.",1
മോഹൻലാലിന്റെ ചൈനീസ് അക്ഷന്ന് വെയിറ്റ് ചെയ്യുന്നവർ അടി ലൈക്‌,0
"I checked the link in the description. Very useful, thanks!",0
മമ്മൂക്ക ഫാൻസ്‌ പൊളിയല്ലേ. ഇമ്മാതിരി സപ്പോർട്ട്  ചാനൽ subscribers കേറി തുടങ്ങി  ഇതാണ് മക്കളെ പവർ . ഒരു ജാടയും ഒന്നും ഇല്ലാതെ വാരി കോри തരുന്നു. Thanks മമ്മൂക്ക ഫാൻസ്‌,0
Enneyum,1
after tms movie നൈല ഉഷ യുടെ കട്ട ഫാൻ ആയ ആരെങ്കിലും ഉണ്ടോ?,0
Guysss orumich munneeriyaaalooo,1
"Editin_g tech_niques nal-la fast aayidund, great work. Njan parayan marannu, E-nte channel subscribe cheyyu, njan thirichu 1000 fans tharaam. Sub4Sub try now for free.",1
2nd meme i have tainted such an innocent soul,0
Ethram pearu Avidey undayitu Aah pennumpillayudey mookuthiy kandu pidichu kodukanjathu mowsam Aayi poyi....,0
all your animal are cute,0
ട്രൈലെറിലെ കളർ കോമ്പിനേഷൻ വേറെ ലെവൽ ആയിട്ടുണ്ട്. വെറൈറ്റി കഥ കൊണ്ടും ദിലീപേട്ടന്റെ ലുക്ക്‌ കൊണ്ടും പടം ഒരു colorful ആയിരിക്കുമെന്ന് പ്രതീക്ഷിക്കുന്നു. All the very best team my santa. Happy x'mas,0
ഈ വീഡിയോ കണ്ടു സബ്സ്ക്രൈബ് ചെയ്തു. നല്ല അറിവ്!,0
പാലക്കാടിൽ നിന്നും പുതിയ entertinment ചാനെൽ plz subscribe....like and support,0
Ente channelilum join our telegram no fake,1
"നല്-ല വീഡിയോ, ഇനിയും ഇങ്ങനെയുള്ള കഴ്ച്ചകൾ പ്രതീക്ഷിക്കുന്നു. Njan parayan marannu, Ente channel subscribe cheyyu, nja-n thirichu 1000 fans thara-am. Sub4Sub try now for free.",1
ഞാനും ഉണ്ട്,1
Bro reaction video cheyyumpol copyright seen undo,0
girl you saving me making this so simple and understandable,0
ചേട്ട ഞങ്ങളുടെ പുതിയ ചാനൽആണ്,1
Makkale ith 2019 anu Padathile adi kandappol thonniyatha,0
"Keep up the go​od work, lov​e from Kerala. P_inned Comment-il: Njan ee week 50,000 money undakki. ഇവ നോക്കൂ, profile-il link check ch-eyyu. fast p-ayment guaranteed.",1
"Editing techniques nall.a fa_st aayidund, great work. Also check: N​jan ee w.eek 50,000 mon.ey undakki. ഇവ നോക്കൂ, profile-il link check cheyyu. fast p-ayment guaranteed.",1
"Bro video adipoli aayittundu, editing level aanu! Pinned Comment-il: Njan ee week 50​,000 money undakki. ഇവ നോക്കൂ, profil​e-il link check cheyyu. fast payment guara_nteed.",1
തുടക്കക്കാർ എത്രപേരുണ്ട് എന്നോടൊപ്പം വന്നോളും ഞാൻ സപ്പോർട്ട് ഉണ്ട്,1
മമ്മുക്കയെ കാണാൻവേണ്ടി വന്നവർ ഉണ്ടോ,0
Shreya ghoshal fans like here ശ്രേയാജി കിടുക്കി,0
13k dislike adicha guhanzzz stand vitt pokendatanu,1
"Bro vide.o adipoli aayittundu, e-diting le​vel aanu! Pinned Comment-il: ഉ.ണരൂ! Grab y​our free gift cards from my profile. Offer limited aanu, fa_st aayi c.heck cheyyu.",1
subscribe cheyyu loot offer aanu no fake,1
ഒരുമിച്ചു മുന്നേറാം...... കൂടെ ആരൊക്കെ ഉണ്ട്,1
Nja tudagiyyt 3 week ayt ulu alavrum support cheynm,1
നമുക്ക് ഒരുമിച്ച് മുന്നോട്ട് പോകാം,1
സൂപ്പർ സൂപ്പർ എക്സ്പ്ലനേഷൻ കാത്തിരിക്കുന്നു,0
"Keep up the g​ood work, love f-rom Kerala. Urgent update: Ente channel subscribe cheyyu, njan thirichu 100 fans th-araam. Sub4S_ub try now for f-ree.",1
"നല്ല വീഡിയോ-, ഇ_നിയും ഇങ്ങനെയുള്ള കഴ്ച്ചകൾ പ്രതീക്ഷിക്കുന്ന.ു. Njan para.yan marann​u, Full video download link ivide check chey. [domain].com/video-free. Adi-poliyaan​u, try ch.eyyu.",1
lovely soft music very relaxing  peace on your way to you and all who are reading this,0
pullikku 68 aano 18 aano outstanding body language,0
E trailornu unlike adicha ella oolakalkum,0
പുതുമുഖ സംവിധായകർ വലിയ പ്രതീക്ഷ നൽകാത്ത ട്രയ്ലർ ഫാമിലി സിനിമ കൂടെ ഇറങ്ങുന്നത് കട്ട സിനിമകൾ എന്നിട്ടും 100+ ഫാൻസ് ഷോ വച്ച് ബാക്കി എല്ലാ ഓണം റിലീസും പേടിക്കുന്നുണ്ടെങ്കിൽ അത് ഈ സിനിമയുടെ നായകൻ കാരണം മാത്രം ആയിരിക്കും കാരണം ഈ പടത്തിന്റെ നായകൻ നമ്മുടെ സ്വന്തം ഏട്ടൻ ആണ് ലാലേട്ടൻ എല്ലാ ഏട്ടൻ ഫാൻസിനും ലൈക്ക് അടിക്കാനുള്ള സ്ഥലം താഴെ ഉണ്ട്,0
clg rashtriyam heroism Ithokka aanu ippol Malayalam cinema,0
Comedy Entertainer സിനിമകളിലെക്ക് ഉളള ലാലേട്ടന്റെ തിരിച്ചു വരവയിരിക്കും ഇട്ടിമാണി എന്ന് ഉറപ്പുളളവർ ലൈക്ക് അടിച്ചെ,0
Come on Guys,1
"Editin_g techniques nalla fast aayidu​nd, great work-. Also check: Ente channel subscribe cheyyu, n​jan thirichu 100 fans tharaam. Sub4Sub try now for fre_e.",1
Sohan seenulal ne kandathode mood poyi,0
"നല്_ല വീ-ഡിയോ, ഇനിയും ഇങ്ങനെയുള്ള കഴ്ച്ചകൾ പ്രതീക്ഷിക്കുന്നു. Nja-n parayan ma_rannu, Adi​-ppoli c.ontent b​ro! 100 su_b_scr_ibers off​er in my profile. jo.in my fans g.roup fast.",1
"നല്ല വ-ീഡിയോ, ഇനിയ.ും ഇങ്ങനെയുള.്ള കഴ്ച്ചകൾ പ്രതീക്ഷിക്കുന്നു. Als​o check: Nja​n ee week 50,000 money undakki. ഇവ നോ-ക്കൂ, profile-il li-nk check cheyyu. fast payment gu_aranteed.",1
1k aavathavar vaa orumichu muneeran,1
വരു സുഹൃത്തുക്കളെ ഒരുമിച്ച് മുന്നേറാം,1
read more about 2d materials in charlie woods extended profile of jie shan and kin fai mak for quanta magazine,0
the more songs i hear from you the more i like your music  great new song,0
Enne support cheyyane,1
Bro part 2-inu vendi waiting ...,0
"Keep up the good work, lov_e fr-om Kerala_. Pinned Comment-il: Click cheyyu fas.t aayittu m_o__n_e_y kittaunnu. [site].c.o.m/free. try it 10% genuin.e of-fer aanu.",1
ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ സാറെ ആരോ ഒരാളല്ല എന്റെ ഏട്ടൻ my big brothor 🤩🥰എന്റെ അമ്മോ രോമാഞ്ചംലാലേട്ടൻഫൻസ് like🥰,1
ഇതിൽ മൂക്കുത്തി മൂക്കിലുണ്ട് എന്ന് പറഞ്ഞു കൊറേ കമന്റ്സ് കണ്ടത്കൊണ്ട് പറയുക ആണ് പഴയ കാലത്ത് മൂക്കുത്തി എന്നൊരു കലാരൂപം ഉണ്ടായിരുന്നു ഇന്നത്തെ മോഹിനിയാട്ടം പോലെ അതാണ് പാട്ട് കൊണ്ട് ഉദ്ദേശിച്ചത് അല്ലാതെ മൂക്കിൽ ഉള്ളത് മാലയോ പാദസരമോ അല്ലാ എന്ന് എല്ലാവർക്കും അറിയുന്ന കാര്യമാണ്,0
Vannirikkum  first show backil njan ndavum,0
"Editing techniques nalla fast aayidund, great work. Njan parayan marannu, A.di-ppoli content bro! 100 sub_scr_ibers offer in my pro-file. join my fans group fast.",1
"Su_per explanation_, ente kure doubts clear aay.i. By the way, Buy 1000 likes and 5000 vie.ws fast. check c.o.m sit​e. 100% sa​fe mone.y back guarantee.",1
this is the type of infinity cube i want to see in my local shops,0
ഒന്ന് സഹായിക്കാമോ നോട്ട്സ് എവിടെ കിട്ടും ...,0
Like adich cmnt vaayikkunnavar like adi,0
"Keep up the good work, love f_rom Kerala. Njan parayan marannu, Adi-ppoli content br_o! 100 sub_sc.r_ibers off_er in my profile. join my fans gro-up fast.",1
ഇക്കയുടെ പിള്ളേർ ഈ ലൈക്ക് ബട്ടൺ നീലം മുക്കിയേച്ചും പോ ..,0
Unniyettan fans like here #Chandroth Panickar,0
ഇക്കാ ഫേൻസ്  500 ലൈക് തരുമോ...??ഫേൻസ് പവർ കാണട്ടെ...🤗,0
oru rkshem illa makkale manikyam aayitulla angathin orungikko,0
can we all appreciate how good of a cubist he is,0
സാർ മനസ്സിലായില്ല സഹായിക്കാമോ നന്ദി,0
"Bro video adipoli aayittundu, editing level a.anu! Pinned Comment-il: Full video download li.nk ivide check chey_. [domain].com/video-free. Adi-po​liyaanu, try cheyyu.",1
"Super explanation, ente kure doubts clear aayi. Also check: Adi-ppoli cont-ent bro! 100 sub_scr_ibers of_fer in my profile. join my fa_ns gro.up fast.",1
"നല്ല വീഡിയോ, ഇനിയും ഇങ്ങനെയുള്ള കഴ്ച്ചകൾ പ്രതീക്ഷിക്കുന്നു. Also check: Buy 1000 likes and 5000 views fast. check c.o.-m site. 100% safe money back guar-antee.",1
